,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
972,AMZN,2020-12-21 00:00:00+00:00,3206.18,3226.9666,3166.0,3200.01,3836846,3206.18,3226.9666,3166.0,3200.01,3836846,0.0,1.0
973,AMZN,2020-12-22 00:00:00+00:00,3206.52,3222.0,3180.08,3202.8434,2381781,3206.52,3222.0,3180.08,3202.8434,2381781,0.0,1.0
974,AMZN,2020-12-23 00:00:00+00:00,3185.27,3210.13,3184.17,3205.0,2093787,3185.27,3210.13,3184.17,3205.0,2093787,0.0,1.0
975,AMZN,2020-12-24 00:00:00+00:00,3172.69,3202.0,3169.0,3193.9,1451917,3172.69,3202.0,3169.0,3193.9,1451917,0.0,1.0
976,AMZN,2020-12-28 00:00:00+00:00,3283.96,3304.0,3172.69,3194.0,5620728,3283.96,3304.0,3172.69,3194.0,5620728,0.0,1.0
977,AMZN,2020-12-29 00:00:00+00:00,3322.0,3350.65,3281.223,3309.94,4872933,3322.0,3350.65,3281.223,3309.94,4872933,0.0,1.0
978,AMZN,2020-12-30 00:00:00+00:00,3285.85,3342.1,3282.47,3341.0,3209310,3285.85,3342.1,3282.47,3341.0,3209310,0.0,1.0
979,AMZN,2020-12-31 00:00:00+00:00,3256.93,3282.9219,3241.2,3275.0,2957206,3256.93,3282.9219,3241.2,3275.0,2957206,0.0,1.0
980,AMZN,2021-01-04 00:00:00+00:00,3186.63,3272.0,3144.02,3270.0,4411449,3186.63,3272.0,3144.02,3270.0,4411449,0.0,1.0
981,AMZN,2021-01-05 00:00:00+00:00,3218.51,3223.38,3165.06,3166.01,2655548,3218.51,3223.38,3165.06,3166.01,2655548,0.0,1.0
982,AMZN,2021-01-06 00:00:00+00:00,3138.38,3197.509,3131.16,3146.48,4394815,3138.38,3197.509,3131.16,3146.48,4394815,0.0,1.0
983,AMZN,2021-01-07 00:00:00+00:00,3162.16,3208.542,3155.0,3157.0,3514545,3162.16,3208.542,3155.0,3157.0,3514545,0.0,1.0
984,AMZN,2021-01-08 00:00:00+00:00,3182.7,3190.64,3142.2,3180.0,3537744,3182.7,3190.64,3142.2,3180.0,3537744,0.0,1.0
985,AMZN,2021-01-11 00:00:00+00:00,3114.21,3156.3841,3110.0,3148.01,3669095,3114.21,3156.3841,3110.0,3148.01,3669095,0.0,1.0
986,AMZN,2021-01-12 00:00:00+00:00,3120.83,3142.1418,3086.0,3120.0,3418549,3120.83,3142.1418,3086.0,3120.0,3418549,0.0,1.0
987,AMZN,2021-01-13 00:00:00+00:00,3165.89,3189.95,3122.08,3128.44,3321244,3165.89,3189.95,3122.08,3128.44,3321244,0.0,1.0
988,AMZN,2021-01-14 00:00:00+00:00,3127.47,3177.9999,3120.59,3167.52,3070919,3127.47,3177.9999,3120.59,3167.52,3070919,0.0,1.0
989,AMZN,2021-01-15 00:00:00+00:00,3104.25,3142.545,3095.17,3123.02,4243995,3104.25,3142.545,3095.17,3123.02,4243995,0.0,1.0
990,AMZN,2021-01-19 00:00:00+00:00,3120.76,3145.0,3096.0,3107.0,3305142,3120.76,3145.0,3096.0,3107.0,3305142,0.0,1.0
991,AMZN,2021-01-20 00:00:00+00:00,3263.38,3279.8,3175.0,3181.99,5309835,3263.38,3279.8,3175.0,3181.99,5309835,0.0,1.0
992,AMZN,2021-01-21 00:00:00+00:00,3306.99,3348.55,3289.5675,3293.0,4945051,3306.99,3348.55,3289.5675,3293.0,4945051,0.0,1.0
993,AMZN,2021-01-22 00:00:00+00:00,3292.23,3321.91,3283.1644,3304.31,2821914,3292.23,3321.91,3283.1644,3304.31,2821914,0.0,1.0
994,AMZN,2021-01-25 00:00:00+00:00,3294.0,3363.89,3243.1463,3328.5,3749758,3294.0,3363.89,3243.1463,3328.5,3749758,0.0,1.0
995,AMZN,2021-01-26 00:00:00+00:00,3326.13,3338.0,3282.87,3296.3559,2955235,3326.13,3338.0,3282.87,3296.3559,2955235,0.0,1.0
996,AMZN,2021-01-27 00:00:00+00:00,3232.58,3346.52,3207.08,3341.49,4660158,3232.58,3346.52,3207.08,3341.49,4660158,0.0,1.0
997,AMZN,2021-01-28 00:00:00+00:00,3237.62,3301.68,3228.69,3235.04,3149228,3237.62,3301.68,3228.69,3235.04,3149228,0.0,1.0
998,AMZN,2021-01-29 00:00:00+00:00,3206.2,3236.99,3184.55,3230.0,4293556,3206.2,3236.99,3184.55,3230.0,4293556,0.0,1.0
999,AMZN,2021-02-01 00:00:00+00:00,3342.88,3350.26,3235.025,3242.36,4160212,3342.88,3350.26,3235.025,3242.36,4160212,0.0,1.0
1000,AMZN,2021-02-02 00:00:00+00:00,3380.0,3427.74,3361.125,3380.0,6183716,3380.0,3427.74,3361.125,3380.0,6183716,0.0,1.0
1001,AMZN,2021-02-03 00:00:00+00:00,3312.53,3434.0,3308.62,3425.01,7088781,3312.53,3434.0,3308.62,3425.01,7088781,0.0,1.0
1002,AMZN,2021-02-04 00:00:00+00:00,3331.0,3347.0,3277.75,3330.0,3670661,3331.0,3347.0,3277.75,3330.0,3670661,0.0,1.0
1003,AMZN,2021-02-05 00:00:00+00:00,3352.15,3377.0,3302.71,3319.0,3620808,3352.15,3377.0,3302.71,3319.0,3620808,0.0,1.0
1004,AMZN,2021-02-08 00:00:00+00:00,3322.94,3364.9999,3304.0,3358.5,3257391,3322.94,3364.9999,3304.0,3358.5,3257391,0.0,1.0
1005,AMZN,2021-02-09 00:00:00+00:00,3305.0,3338.0,3297.84,3312.49,2179355,3305.0,3338.0,3297.84,3312.49,2179355,0.0,1.0
1006,AMZN,2021-02-10 00:00:00+00:00,3286.58,3317.9548,3254.0,3314.0,3125174,3286.58,3317.9548,3254.0,3314.0,3125174,0.0,1.0
1007,AMZN,2021-02-11 00:00:00+00:00,3262.13,3292.0,3248.06,3292.0,2301417,3262.13,3292.0,3248.06,3292.0,2301417,0.0,1.0
1008,AMZN,2021-02-12 00:00:00+00:00,3277.71,3280.25,3233.31,3250.0,2335339,3277.71,3280.25,3233.31,3250.0,2335339,0.0,1.0
1009,AMZN,2021-02-16 00:00:00+00:00,3268.95,3308.3,3253.591,3254.05,2574721,3268.95,3308.3,3253.591,3254.05,2574721,0.0,1.0
1010,AMZN,2021-02-17 00:00:00+00:00,3308.64,3320.91,3259.4996,3263.6,3261801,3308.64,3320.91,3259.4996,3263.6,3261801,0.0,1.0
1011,AMZN,2021-02-18 00:00:00+00:00,3328.23,3338.0,3273.94,3282.42,3033607,3328.23,3338.0,3273.94,3282.42,3033607,0.0,1.0
1012,AMZN,2021-02-19 00:00:00+00:00,3249.9,3333.5,3245.75,3328.23,4305184,3249.9,3333.5,3245.75,3328.23,4305184,0.0,1.0
1013,AMZN,2021-02-22 00:00:00+00:00,3180.74,3232.3199,3172.26,3208.13,3461266,3180.74,3232.3199,3172.26,3208.13,3461266,0.0,1.0
1014,AMZN,2021-02-23 00:00:00+00:00,3194.5,3204.73,3093.6,3127.03,4677222,3194.5,3204.73,3093.6,3127.03,4677222,0.0,1.0
1015,AMZN,2021-02-24 00:00:00+00:00,3159.53,3171.23,3125.38,3166.75,3011275,3159.53,3171.23,3125.38,3166.75,3011275,0.0,1.0
1016,AMZN,2021-02-25 00:00:00+00:00,3057.16,3178.26,3047.76,3136.74,4399320,3057.16,3178.26,3047.76,3136.74,4399320,0.0,1.0
1017,AMZN,2021-02-26 00:00:00+00:00,3092.93,3122.44,3036.7,3095.2,4246135,3092.93,3122.44,3036.7,3095.2,4246135,0.0,1.0
1018,AMZN,2021-03-01 00:00:00+00:00,3146.14,3149.56,3097.99,3127.89,2733963,3146.14,3149.56,3097.99,3127.89,2733963,0.0,1.0
1019,AMZN,2021-03-02 00:00:00+00:00,3094.53,3163.52,3087.1201,3143.47,2595762,3094.53,3163.52,3087.1201,3143.47,2595762,0.0,1.0
